"plant","rank","organ","arrow","length_cm","area_cm2","fresh_weight_g","dry_weight_g"
4,6,"rachis",,"40.5",,"8.17","2.73"
4,6,"leaflet_and_rachis",,"57.5",,,"5.17"
4,6,"petiole",,"12.5",,,
4,7,"leaflet",,,487,"10.61","3.33"
4,7,"rachis",,"44.7",,"8.41","2.54"
4,7,"leaflet_and_rachis",,66,,,"5.87"
4,7,"petiole",,"11.0",,,
4,8,"leaflet",,,643,"14.00","4.37"
4,8,"rachis",,"51.7",,"11.90","3.94"
4,8,"leaflet_and_rachis",,"76.8",,,"8.29"
4,8,"petiole",,"10.7",,,
4,9,"leaflet",,,826,"19.00","5.67"
4,9,"rachis",,"57.1",,"13.9","4.50"
4,9,"leaflet_and_rachis",,"80.7",,,"10.17"
4,9,"petiole",,10,,,
4,10,"leaflet",,,897,"20.45","5.84"
4,10,"rachis",,59,,"15.05","4.05"
4,10,"leaflet_and_rachis",,"77.4",,,"9.91"
4,10,"petiole",,"7.2",,,
4,11,"leaflet",,,1004,"22.20","5.95"
4,11,"rachis",,"58.8",,"13.08","3.19"
4,11,"leaflet_and_rachis",,77,,,"9.12"
4,11,"petiole",,,,,
4,12,"leaflet","yes",,,,
4,12,"rachis","yes",,,,
4,12,"leaflet_and_rachis","yes","47.5",,,"3.41"
4,12,"petiole","yes",,,,
4,13,"leaflet","yes",,,,
4,13,"rachis","yes",,,,
4,13,"leaflet_and_rachis","yes","19.7",,,"0.67"
4,13,"petiole","yes",,,,
