DateTime_start,DateTime_end,Sequence,DateTime_start_sequence,DateTime_end_sequence,Scenario_actual,outlier
2021-03-02T05:43:30Z,2021-03-02T05:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T05:53:30Z,2021-03-02T05:58:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:03:30Z,2021-03-02T06:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:12:30Z,2021-03-02T06:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:22:30Z,2021-03-02T06:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:32:30Z,2021-03-02T06:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:42:30Z,2021-03-02T06:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T06:52:30Z,2021-03-02T06:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:02:30Z,2021-03-02T07:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:12:30Z,2021-03-02T07:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:22:30Z,2021-03-02T07:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:32:30Z,2021-03-02T07:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:42:30Z,2021-03-02T07:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T07:52:30Z,2021-03-02T07:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:02:30Z,2021-03-02T08:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:12:30Z,2021-03-02T08:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:22:30Z,2021-03-02T08:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:32:30Z,2021-03-02T08:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:42:30Z,2021-03-02T08:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T08:52:30Z,2021-03-02T08:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:02:30Z,2021-03-02T09:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:12:30Z,2021-03-02T09:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:22:30Z,2021-03-02T09:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:32:30Z,2021-03-02T09:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:42:30Z,2021-03-02T09:47:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T09:52:30Z,2021-03-02T09:57:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T10:02:30Z,2021-03-02T10:07:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T10:12:30Z,2021-03-02T10:17:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T10:22:30Z,2021-03-02T10:27:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
2021-03-02T10:32:30Z,2021-03-02T10:37:30Z,1,2021-03-01T17:00:00Z,2021-03-05T08:30:00Z,400ppm,no
