waveLength(nm);irradiance(microW/cm2/nm)
592,83;29,883
593,25;29,861
593,66;29,844
594,08;29,833
594,5;29,825
594,92;29,831
595,34;29,851
595,75;29,852
596,17;29,856
596,59;29,849
597,01;29,861
597,43;29,856
597,84;29,858
598,26;29,829
598,68;29,826
599,1;29,789
599,51;29,762
599,93;29,721
600,35;29,662
600,77;29,582
601,18;29,472
601,6;29,360
602,02;29,248
602,43;29,109
602,85;28,953
603,27;28,783
603,68;28,601
604,1;28,436
604,52;28,233
604,94;28,037
605,35;27,831
605,77;27,603
606,18;27,392
606,6;27,156
607,02;26,941
607,43;26,708
607,85;26,475
608,27;26,233
608,68;26,019
609,1;25,780
609,52;25,563
609,93;25,323
610,35;25,102
610,76;24,871
611,18;24,657
611,59;24,433
612,01;24,228
612,43;24,018
612,84;23,807
613,26;23,605
613,67;23,412
614,09;23,210
614,5;23,019
614,92;22,825
615,33;22,637
615,75;22,451
616,17;22,260
616,58;22,079
617;21,889
617,41;21,699
617,83;21,527
618,24;21,332
618,66;21,157
619,07;20,971
619,48;20,786
619,9;20,617
620,31;20,443
620,73;20,269
621,14;20,109
621,56;19,942
621,97;19,784
622,39;19,619
622,8;19,450
623,22;19,298
623,63;19,119
624,04;18,949
624,46;18,791
624,87;18,627
625,29;18,466
625,7;18,312
626,11;18,149
626,53;18,010
626,94;17,862
627,35;17,705
627,77;17,569
628,18;17,419
628,6;17,273
629,01;17,140
629,42;16,998
629,84;16,862
630,25;16,720
630,66;16,579
631,08;16,443
631,49;16,311
631,9;16,166
632,31;16,036
632,73;15,900
633,14;15,782
633,55;15,659
633,97;15,550
634,38;15,434
634,79;15,345
635,2;15,233
635,62;15,143
636,03;15,052
636,44;14,963
636,85;14,880
637,27;14,798
637,68;14,701
638,09;14,622
638,5;14,545
638,92;14,463
639,33;14,373
639,74;14,290
640,15;14,231
640,56;14,166
640,98;14,105
641,39;14,052
641,8;13,999
642,21;13,964
642,62;13,927
643,03;13,880
643,45;13,848
643,86;13,819
644,27;13,787
644,68;13,758
645,09;13,736
645,5;13,713
645,91;13,700
646,32;13,683
646,74;13,664
647,15;13,647
647,56;13,647
647,97;13,640
648,38;13,638
648,79;13,650
649,2;13,676
649,61;13,710
650,02;13,756
650,43;13,809
650,84;13,876
651,25;13,946
651,66;14,024
652,07;14,090
652,48;14,176
652,89;14,257
653,3;14,340
653,71;14,435
654,12;14,526
654,53;14,595
654,94;14,686
655,35;14,788
655,76;14,902
656,17;15,016
656,58;15,130
656,99;15,270
657,4;15,437
657,81;15,609
658,22;15,777
658,63;15,951
659,04;16,139
659,45;16,326
659,86;16,519
660,27;16,710
660,68;16,903
661,09;17,092
661,5;17,264
661,9;17,441
662,31;17,617
662,72;17,777
663,13;17,924
663,54;18,068
663,95;18,185
664,36;18,319
664,77;18,406
665,17;18,487
665,58;18,530
665,99;18,533
666,4;18,483
666,81;18,408
667,22;18,252
667,62;18,068
668,03;17,782
668,44;17,447
668,85;17,061
669,26;16,618
669,66;16,124
670,07;15,608
670,48;15,028
670,89;14,460
671,29;13,882
671,7;13,302
672,11;12,732
672,52;12,185
672,92;11,645
673,33;11,150
673,74;10,673
674,15;10,221
674,55;9,799
674,96;9,414
675,37;9,040
675,77;8,698
676,18;8,358
676,59;8,056
676,99;7,774
677,4;7,504
677,81;7,239
678,21;7,010
678,62;6,785
679,03;6,595
679,43;6,409
679,84;6,237
680,25;6,079
680,65;5,938
681,06;5,803
681,47;5,687
681,87;5,579
682,28;5,476
682,68;5,394
683,09;5,328
683,5;5,270
683,9;5,216
684,31;5,174
684,71;5,128
685,12;5,107
685,52;5,080
685,93;5,065
686,34;5,058
686,74;5,054
687,15;5,061
687,55;5,090
687,96;5,114
688,36;5,155
688,77;5,193
689,17;5,237
689,58;5,290
689,98;5,356
690,39;5,422
690,79;5,501
691,2;5,582
691,6;5,670
692,01;5,766
692,41;5,880
692,81;5,981
693,22;6,093
693,62;6,196
694,03;6,300
694,43;6,420
694,84;6,552
695,24;6,678
695,64;6,810
696,05;6,944
696,45;7,090
696,86;7,246
697,26;7,391
697,66;7,542
698,07;7,695
698,47;7,860
698,88;8,033
699,28;8,205
699,68;8,371
700,09;8,538
700,49;8,708
700,89;8,857
701,3;9,002
701,7;9,127
702,1;9,261
702,51;9,392
702,91;9,514
703,31;9,610
703,71;9,719
704,12;9,806
704,52;9,896
704,92;9,967
705,33;10,031
705,73;10,091
706,13;10,145
706,53;10,191
706,94;10,252
707,34;10,295
707,74;10,339
708,14;10,368
708,54;10,383
708,95;10,382
709,35;10,377
709,75;10,328
710,15;10,246
710,55;10,135
710,96;10,014
711,36;9,854
711,76;9,678
712,16;9,448
712,56;9,215
712,96;8,965
713,37;8,674
713,77;8,359
714,17;8,034
714,57;7,685
714,97;7,326
715,37;6,951
715,77;6,571
716,17;6,191
716,58;5,816
716,98;5,436
717,38;5,054
717,78;4,688
718,18;4,336
718,58;3,996
718,98;3,675
719,38;3,352
719,78;3,059
720,18;2,794
720,58;2,531
720,98;2,281
721,38;2,057
721,78;1,849
722,18;1,656
722,58;1,480
722,98;1,315
723,38;1,166
723,78;1,038
724,18;0,923
724,58;0,816
724,98;0,723
725,38;0,625
725,78;0,536
726,18;0,473
726,58;0,399
726,98;0,324
727,38;0,261
727,78;0,195
728,18;0,150
728,58;0,113
728,98;0,070
729,38;0,035
729,78;0,028
730,17;0,018
730,57;0,022
730,97;0,021
731,37;0,022
731,77;0,032
732,17;0,058
732,57;0,064
732,96;0,080
733,36;0,105
733,76;0,138
734,16;0,173
734,56;0,215
734,96;0,252
735,35;0,308
735,75;0,361
736,15;0,422
736,55;0,475
736,95;0,540
737,34;0,599
737,74;0,668
738,14;0,718
738,54;0,773
738,94;0,813
739,33;0,872
739,73;0,912
740,13;0,958
740,53;1,003
740,92;1,047
741,32;1,092
741,72;1,146
742,11;1,194
742,51;1,239
742,91;1,276
743,31;1,291
743,7;1,331
744,1;1,345
744,5;1,350
744,89;1,330
745,29;1,316
745,69;1,281
746,08;1,249
746,48;1,176
746,87;1,104
747,27;1,007
747,67;0,896
748,06;0,783
748,46;0,640
748,86;0,488
749,25;0,336
749,65;0,168
750,04;0,004
750,44;-0,178
750,84;-0,374
751,23;-0,551
751,63;-0,747
752,02;-0,945
752,42;-1,145
752,81;-1,350
753,21;-1,526
753,6;-1,709
754;-1,887
754,39;-2,069
754,79;-2,243
755,18;-2,389
755,58;-2,543
755,97;-2,687
756,37;-2,844
756,76;-2,988
757,16;-3,108
757,55;-3,234
757,95;-3,362
758,34;-3,469
758,74;-3,588
759,13;-3,683
759,53;-3,801
759,92;-3,915
760,32;-4,038
760,71;-4,147
761,1;-4,255
761,5;-4,358
761,89;-4,467
762,29;-4,559
762,68;-4,650
763,07;-4,716
763,47;-4,812
763,86;-4,910
764,25;-4,996
764,65;-5,089
765,04;-5,169
765,44;-5,270
765,83;-5,372
766,22;-5,460
766,62;-5,546
767,01;-5,636
767,4;-5,717
767,79;-5,802
768,19;-5,880
768,58;-5,970
768,97;-6,047
769,37;-6,129
769,76;-6,210
770,15;-6,275
770,54;-6,345
770,94;-6,409
771,33;-6,449
771,72;-6,518
772,11;-6,581
772,51;-6,624
772,9;-6,689
773,29;-6,748
773,68;-6,796
774,08;-6,860
774,47;-6,915
774,86;-6,973
775,25;-7,044
775,64;-7,112
776,04;-7,163
776,43;-7,217
776,82;-7,272
777,21;-7,324
777,6;-7,367
777,99;-7,417
778,38;-7,450
778,78;-7,507
779,17;-7,566
779,56;-7,629
779,95;-7,685
780,34;-7,728
780,73;-7,770
781,12;-7,826
781,51;-7,873
781,9;-7,927
782,3;-7,958
782,69;-8,004
783,08;-8,080
783,47;-8,144
783,86;-8,201
784,25;-8,259
784,64;-8,302
785,03;-8,373
785,42;-8,418
785,81;-8,438
786,2;-8,487
786,59;-8,535
786,98;-8,588
787,37;-8,650
787,76;-8,707
788,15;-8,762
788,54;-8,835
788,93;-8,903
789,32;-8,968
789,71;-9,024
790,1;-9,072
790,49;-9,125
790,88;-9,186
791,27;-9,235
791,65;-9,274
792,04;-9,310
792,43;-9,355
792,82;-9,423
