Date;Conditions;X;Y;Z - 21 cm;Z - 51 cm;Z - 81 cm;Z - 111cm;Z - 105.4cm
02/02/2021;noFelt;20;40;640;371;272;214;
02/02/2021;noFelt;20;41,6;642;385;267;208;
02/02/2021;noFelt;20;43,2;680;391;273;215;
02/02/2021;noFelt;20;44,8;669;383;275;214;
02/02/2021;noFelt;20;46,4;667;401;270;211;
02/02/2021;noFelt;20;48;695;401;280;219;
02/02/2021;noFelt;20;49,6;676;394;277;215;
02/02/2021;noFelt;20;51,2;667;410;271;212;
02/02/2021;noFelt;20;52,8;684;408;279;219;
02/02/2021;noFelt;20;54,4;671;402;280;216;
02/02/2021;noFelt;20;56;647;406;268;209;
02/02/2021;noFelt;20;57,6;677;411;284;221;
02/02/2021;noFelt;20;59,2;665;407;280;216;
02/02/2021;noFelt;20;60,8;648;411;272;211;
02/02/2021;noFelt;20;62,4;665;403;280;217;
02/02/2021;noFelt;20;64;657;410;277;213;
02/02/2021;noFelt;20;65,6;662;418;279;217;
02/02/2021;noFelt;20;67,2;674;409;284;218;
02/02/2021;noFelt;20;68,8;660;411;275;211;
02/02/2021;noFelt;20;70,4;682;425;286;223;
02/02/2021;noFelt;20;72;672;410;287;217;
02/02/2021;noFelt;20;73,6;652;408;274;210;
02/02/2021;noFelt;20;75,2;667;418;286;222;
02/02/2021;noFelt;20;76,8;654;401;281;214;
02/02/2021;noFelt;20;78,4;643;412;279;216;
02/02/2021;noFelt;20;80;633;402;283;218;
02/02/2021;noFelt;20;81,6;618;398;280;213;
02/02/2021;noFelt;20;83,2;586;398;273;213;
02/02/2021;noFelt;20;84,8;572;386;277;212;
02/02/2021;noFelt;20;86,4;541;377;268;206;
02/02/2021;noFelt;20;88;509;378;264;208;
02/02/2021;noFelt;20;89,6;492;369;269;206;
02/02/2021;noFelt;20;91,2;466;360;261;202;
02/02/2021;noFelt;20;92,8;449;374;268;212;
02/02/2021;noFelt;20;94,4;433;363;270;208;
02/02/2021;noFelt;20;96;404;353;261;203;
02/02/2021;noFelt;20;97,6;380;359;264;208;
02/02/2021;noFelt;20;99,2;369;350;264;204;
02/02/2021;noFelt;20;100,8;342;339;255;201;
02/02/2021;noFelt;20;102,4;331;346;263;207;
02/02/2021;noFelt;30;1,6;120;263;230;193;
02/02/2021;noFelt;30;3,2;145;270;227;189;
02/02/2021;noFelt;30;4,8;182;267;237;196;
02/02/2021;noFelt;30;6,4;214;278;235;195;
02/02/2021;noFelt;30;8;229;279;236;191;
02/02/2021;noFelt;30;9,6;250;275;240;198;
02/02/2021;noFelt;30;11,2;284;287;235;194;
02/02/2021;noFelt;30;12,8;298;289;243;194;
02/02/2021;noFelt;30;14,4;326;295;248;204;
02/02/2021;noFelt;30;16;347;305;238;196;
02/02/2021;noFelt;30;17,6;361;306;250;203;
02/02/2021;noFelt;30;19,2;384;309;247;205;
02/02/2021;noFelt;30;20,8;420;327;249;202;
02/02/2021;noFelt;30;22,4;427;325;259;207;
02/02/2021;noFelt;30;24;461;333;256;208;
02/02/2021;noFelt;30;25,6;493;351;263;207;
02/02/2021;noFelt;30;27,2;512;353;273;218;
02/02/2021;noFelt;30;28,8;547;356;263;211;
02/02/2021;noFelt;30;30,4;569;364;270;211;
02/02/2021;noFelt;30;32;582;361;270;218;
02/02/2021;noFelt;30;33,6;622;372;265;211;
02/02/2021;noFelt;30;35,2;633;376;274;213;
02/02/2021;noFelt;30;36,8;645;375;273;218;
02/02/2021;noFelt;30;38,4;686;389;270;211;
02/02/2021;noFelt;30;40;692;393;280;217;
02/02/2021;noFelt;30;41,6;703;390;276;218;
02/02/2021;noFelt;30;43,2;744;412;279;216;
02/02/2021;noFelt;30;44,8;724;404;283;219;
02/02/2021;noFelt;30;46,4;735;405;279;219;
02/02/2021;noFelt;30;48;764;424;286;219;
02/02/2021;noFelt;30;49,6;734;412;285;223;
02/02/2021;noFelt;30;51,2;739;413;280;219;
02/02/2021;noFelt;30;52,8;753;427;284;218;
02/02/2021;noFelt;30;54,4;733;420;290;225;
02/02/2021;noFelt;30;56;720;409;276;214;
02/02/2021;noFelt;30;57,6;749;432;288;220;
02/02/2021;noFelt;30;59,2;732;423;290;225;
02/02/2021;noFelt;30;60,8;727;414;277;214;
02/02/2021;noFelt;30;62,4;734;426;284;219;
02/02/2021;noFelt;30;64;726;420;286;222;
02/02/2021;noFelt;30;65,6;744;424;284;217;
02/02/2021;noFelt;30;67,2;746;431;291;224;
02/02/2021;noFelt;30;68,8;732;416;285;219;
02/02/2021;noFelt;30;70,4;766;436;289;222;
02/02/2021;noFelt;30;72;747;429;294;226;
02/02/2021;noFelt;30;73,6;728;412;283;216;
02/02/2021;noFelt;30;75,2;749;429;287;221;
02/02/2021;noFelt;30;76,8;726;418;290;223;
02/02/2021;noFelt;30;78,4;718;412;285;219;
02/02/2021;noFelt;30;80;708;418;283;219;
02/02/2021;noFelt;30;81,6;684;412;290;221;
02/02/2021;noFelt;30;83,2;654;397;278;213;
02/02/2021;noFelt;30;84,8;635;399;278;215;
02/02/2021;noFelt;30;86,4;601;390;278;213;
02/02/2021;noFelt;30;88;573;377;267;206;
02/02/2021;noFelt;30;89,6;556;383;273;211;
02/02/2021;noFelt;30;91,2;521;372;270;207;
02/02/2021;noFelt;30;92,8;506;374;269;209;
02/02/2021;noFelt;30;94,4;485;376;275;214;
02/02/2021;noFelt;30;96;447;363;268;207;
02/02/2021;noFelt;30;97,6;424;358;264;207;
02/02/2021;noFelt;30;99,2;406;363;271;212;
02/02/2021;noFelt;30;100,8;377;346;262;204;
02/02/2021;noFelt;30;102,4;369;348;263;210;
02/02/2021;noFelt;40;1,6;120;267;237;192;
02/02/2021;noFelt;40;3,2;150;274;231;198;
02/02/2021;noFelt;40;4,8;188;281;244;195;
02/02/2021;noFelt;40;6,4;212;279;242;196;
02/02/2021;noFelt;40;8;238;287;240;201;
02/02/2021;noFelt;40;9,6;256;288;247;196;
02/02/2021;noFelt;40;11,2;281;286;241;198;
02/02/2021;noFelt;40;12,8;311;303;247;201;
02/02/2021;noFelt;40;14,4;331;304;254;201;
02/02/2021;noFelt;40;16;347;300;243;204;
02/02/2021;noFelt;40;17,6;375;320;254;207;
